intent,answer
ask_prevent_premature_birth,"Você pode tomar precauções que podem ajudar a impedir o parto prematuro de começar.

 Beber oito doses de suco ou água a cada duas horas para evitar a desidratação, o que poderia deixar seu útero mais ""irritado"".
 Ter uma dieta saudável e ganhar de 10 a 15 quilos durante a gravidez
 Sempre limpe da frente para trás após urinar ou evacuar, para evitar uma ITU (infecção do trato urinário).
 Sente-se com as pernas elevadas mais ou menos a cada uma hora, e não levante objetos pesados.
 Pare as atividades físicas e descanse se tiver contrações que não parem dentro de um curto espaço de tempo.
 Tente diminuir o estresse em sua vida."
ask_prevent_pre_eclampsia,"Nem sempre é possível prevenir a pré-eclâmpsia, mas se você apresentar um dos fatores de risco, você pode tomar alguns cuidados, como:

- Identifiar e tratar os fatores de risco antes de ficar grávida. Por exemplo, controle a pressão alta, perca peso se necessário e, se você for diabética, tenha sua condição sob controle antes de ficar grávida. Seu médico poderá aconselhá-la sobre os próximos passos, caso você esteja grávida e apresente algum desses fatores de risco.
- Alguns médico podem recomendar aspirina em baixa dosagem durante toda a gravidez se seu risco for alto."
complain_nauseas,"Náuseas, vômitos e tonturas são sintomas comuns no início da gestação. Algumas dicas que podem aliviar esse sintomas são:
- alimentação fracionada (seis refeições leves ao dia)
- evitar frituras, gorduras e alimentos com cheiros fortes
- evitar líquidos durante as refeições
- ingerir alimentos sólidos pela manhã antes de escovar os dentes
- Adiar o horário de escovação dos dentes, evitando os primeiros instantes após levantar-se pela manhã
Em caso de vômitos frequentes, agende uma consulta com o seu médico."
complain_heartburn,"É comum a partir do segundo trimestre da gestação. Algumas dicas que podem te ajudar são:
- Ingestão de forma fracionada (pequenas quantidades e com maior frequência)
- Evitar frituras, café, chá preto, mates, alimentos gordurosos e picantes e outros irritantes gástricos, doces, álcool e fumo
- Ao dormir, buscar elevar o tronco em relação ao resto do corpo (pode-se elevar a cabeceira da cama). 
- Após as refeições, deitar-se só após uma ou duas horas."
complain_salivation,É bem comum no início da gestação. Evite cuspir a saliva e procure tomar líquidos em abundância (especialmente em épocas de calor). Chupar gelo também pode ajudar.
complain_weakness,"Fraquezas e desmaios podem acontecer após mudanças bruscas de posição e também quando você ficar muito tempo sem se alimentar. 
Geralmente deitar de lado (esquerdo preferencialmente) respirando calma e profundamente melhora a sensação. Procure evitar ambientes pouco ventilados e roupas muito quentes."
complain_flatulence,"Para melhorar esse sintoma mantenha uma alimentação rica em fibras, incluindo na sua dieta verduras, cereais integrais e frutas laxantes como o mamão e a banana. Beba bastante água e procure evitar alimentos como feijão, repolho, frituras e ovo. Realizar exercícios físicos como caminhada também podem ajudar."
complain_constipation,"Para melhorar esse sintoma mantenha uma alimentação rica em fibras, incluindo na sua dieta verduras, cereais integrais e frutas laxantes como o mamão e a banana. Beba bastante água e procure evitar alimentos como feijão, repolho, frituras e ovo. Realizar exercícios físicos como caminhada também podem ajudar."
complain_discharge,"O aumento do corrimento é comum em gestantes apenas fique atenta pois o fluxo normal não causa coceira, mau cheiro, ardência ou dor nas relações. Se você apresentar qualquer um desses sintomas, procure o seu médico."
complain_urine,"O aumento da vontade de urinar é muito comum no início e no fim da gestação. Portanto, não diminua a ingestão de líquido para tentar diminuir a frequência com que você vai ao banheiro, é importante manter-se hidratada. 
Sempre que sentir ardência para urinar ou dor e aparecer sangue na urina ou febre avise o seu médico."
complain_breasts,"As mamas aumentam de volume durante a gestação o que frequentemente causa dor, para ajudar procure sempre usar sutiã com boa sustentação. Ainda assim, é importante realizar o exame das mamas para descartar qualquer problema mais grave. Lembre-se também de se preparar para a amamentação."
complain_varicose_veins,"Para melhorar os sintomas das varizes procure:
- Não permanecer muito tempo em pé ou sentada e evitar inatividade
- Repousar pelo menos 20 minutos, várias vezes ao dia, com as pernas elevadas
- Não usar roupas muito justas e, se possível, utilizar meia-calça elástica para gestante"
complain_body,"Durante a gestação as articulações ficam com maior mobilidade e isto frequentemente ocasiona dores nas costas e em articulações como o joelho e o tornozelo. Algumas medidas que podem te ajudar são:

- Evitar aumento excessivo de peso
- Fazer exercícios regularmente
- Manter uma postura adequada
- Evitar uso de saltos altos e desconfortáveis"
complain_headache,"Em geral, dores de cabeça são provenientes de tensão emocional, entretanto podem estar associadas também a doenças mais sérias. Sempre comunique o seu médico para que ele possa te examinar e descartar casos de hipertensão arterial e pré-eclâmpsia. O uso de medicamentos só deve ser feito sob a indicação do seu médico. Para aliviar a dor, procure descansar em um lugar tranquilo e sem barulho, com as luzes apagadas."
complain_cramps,"As câimbras podem ocorrer durante a gestação, geralmente após excesso de exercício. Quando acontecer, massageie o músculo e aplique calor no local. Procure consumir alimentos ricos em potássio, cálcio e vitamina B1, como banana, couve e aveia."
complain_stretch_marks,"As estrias são resultado da distensão dos tecidos e, infelizmente, não existe método eficaz de prevenção. O que você pode fazer para tentar  preveni-las é realizar massagens com óleos nos lugares mais propensos a estrias como abdômen, mamas e coxas. Só cuidado para não aplicar nenhum creme nos mamilos."
complain_melasma,"Manchas na pele são comuns na gravidez e costumam diminuir ou desaparecer, em tempo variável, após o parto. Procure sempre usar filtro solar e evite a exposição ao sol."
complain_gums,"O sangramento nas gengivas também é um sintoma comum da gestação, a causa mais freqüente é a inflamação crônica da gengiva. Utilize escova de dente macia, massageie a gengiva e passe o fio dental. Relate esse problema ao seu médico e se possível, marque também um dentista."
complain_shortness_breath,"A falta de ar e a dificuldade para respirar são sintomas frequentes na gestação devido ao aumento do útero, elevação do diafragma, ou ansiedade. Deitar de lado, de preferência do lado esquerdo, ajuda a aliviar a sensação de falta de ar.
Se os sintomas não melhorarem com o repouso ou estiverem se agravando, procure seu médico."
complain_bleeding,"Não entre em desespero e tente manter a calma. Os sangramentos genitais durante a gravidez são frequentes e, nem sempre, indicam um problema grave. Mesmo assim, é sempre necessário entrar em contato com o seu médico ou ir ao pronto atendimento mais próximo para avaliação."
complain_colic,"A cólica na gravidez é normal, principalmente no início da gestação devido a adaptação do corpo da mãe ao crescimento do bebê e também no final da gravidez, por volta das 37 semanas de gestação, dando indícios do início do trabalho de parto.

No entanto, existem outras situações que podem causar cólicas fortes e persistentes na gravidez, e que devem ser avaliadas pelo médico. Se as cólicas não pararem depois de um tempo ou vierem acompanhadas sangramento vaginal, corrimento ou febre, é importante consultar um ginecologista.

O alívio da cólica é feito de acordo com sua causa e conforme a recomendação médica."
ask_goal_exam_feces,É importante para investigar a presença de parasitas no intestino que podem provocar problemas como anemia.
ask_goal_exam_blood_glucose,"O exame de glicemia, conhecido popularmente como glicemia em jejum, é solicitado pelo ginecologista para medir a quantidade de glicose presente na corrente sanguínea, o que permite identificar eventuais quadros de intolerância à glicose e diabetes.
Se as taxas estiverem muito acima do normal, pode ser que a mulher esteja com diabetes gestacional, que exige cuidado e atenção especial, pois pode comprometer a gravidez.

O exame costuma ser feito em jejum de 8 horas, em que é medida a quantidade de glicose quando não houve ingestão recente de alimentos. 
Além disso pode ser feito durante a chamada curva glicêmica ou teste de tolerância à glicose — duas horas após a ingestão de uma dose padronizada de glicose."
ask_goal_exam_blood,"É importante para determinar o seu tipo sanguíneo e detectar infecções como sífilis e HIV. Além disso, serve para verificar se você possui anemia, dosar os níveis de açucar no sangue e definir se você possui risco de contrair doenças como rubéola e toxoplasmose."
ask_goal_exam_urine,O exame de urina é responsável por detectar uma eventual infecção urinária
ask_goal_exam_intravaginal_ultrasound,"Nesse exame, podemos calcular o tempo de gravidez e a data provável do parto, além de visualizar o embrião e o saco gestacional."
ask_goal_exam_nuchal_translucency_ultrasound,"O principal objetivo desse exame é a medicação da espessura de um fluido entre a pele e a gordura da nuca do bebê. O resultado aponta a chance de haver anomalias, como a Síndrome de Down."
ask_goal_exam_screening_gestational_diabetes,"O objetivo desse exame é verificar se você não desenvolveu diabetes gestacional, pois essa doença requer cuidados especiais e uma possível antecipação do parto."
ask_goal_exam_screening_beta_hermolytic_streptococcus,"Esse exame serve pra detectar um infecção causada pela bactéria estreptococo do grupo B, que pode ser passada para o bebê durante o nascimento. O tratamento para esses casos, consiste na administração de antibióticos no dia do parto."
ask_goal_exam_third_trimester_ultrasound,"Esse exame serve para acompanhar o tamanho, o peso e a posição do bebê, além de avaliar a maturidade da placenta e a quantidade de líquido aminiótico."
ask_how_works_prenatal,"O acompanhamento pré-natal é um conjunto de exames realizados durante a gestação que possibilitam que a mulher faça um acompanhamento detalhado da sua saúde e do bebê. É de extrema importância, pois ajuda a prevenir diversas doenças e complicações que podem trazer inclusive o parto prematuro e o aborto."
ask_anesthesia_dentist,Sim. Você pode receber anestesia e o dentista vai saber a conduta mais adequada e segura na gravidez.
ask_avoid_cleaning_products,"Tome cuidado com produtos de limpeza, principalmente aqueles que contenham amônia ou os seus derivados, já que essas substâncias podem trazer malefícios ao bebê."
ask_avoid_normal_birth,"Isso não é uma verdade absoluta, a partir da segunda cirurgia, os médicos desaconselham parto normal, pois há risco de ocorrer ruptura no útero. O órgão fica frágil por ter sido cortado mais de uma vez no mesmo lugar."
ask_baby_feel_sex,"Não, isso é um mito."
ask_back_exercise,"Se foi parto normal, você pode voltar a se exercitar em dois meses. Mas, se fez cesariana, espere pelo menos 3 meses. Em algumas situações especiais, o médico pode pedir períodos mais longos sem atividade físicas. Consulte-o sobre o seu caso específico."
ask_best_position_baby_sleep,"O bebê deve dormir de barriga para cima. De acordo com pesquisas, bebês que dormem de bruço ou de lado correm o risco de ter a síndrome de morte súbita. As demais posições são permitidas quando o bebê já for capaz de ser virar sozinho na cama."
ask_birth_control_difficult_pregnancy,"As pílulas anticoncepcionais não causam infertilidade mesmo após anos de uso. Assim que se suspende o uso, a fertilidade retorna imediatamente."
ask_birth_transmit_disease,"Sim, como por exemplo o vírus HIV. No entanto, a maioria das condições infecciosas da mãe, quando bem controlada, não contraindica o parto normal. A avaliação médica ditará a conduta, em alguns casos usando medicamentos que previnem a contaminação."
ask_body_back_normal,O corpo retoma suas formas entre 40 e 60 dias. Já os seios só voltam ao normal depois do fim da amamentação.
ask_breast_milk_normal_birth,"Na maioria dos casos isso acontece, mas não é uma regra. Pode ser mais demorado para uma mulher que fez a cesariana, mas não estava em trabalho de parto."
ask_calculate_fertile_period,"Para calcular o período fértil é necessário considerar que a concepção acontece sempre no meio do ciclo, ou seja, em torno do 14º dia de um ciclo normal de 28 dias.
Desta forma, para saber quando é o período fértil é preciso contar 14 dias a partir da data em que veio a última menstruação. A ovulação acontecerá entre 3 dias antes e 3 dias depois dessa data, que é o que se considera o período fértil da mulher. "
ask_care_baby_belly_button,O umbigo pode cair entre 7 e 15 dias após o nascimento. É importante fazer a limpeza dessa parte do corpo do pequeno para evitar infecções.
ask_cesarean_can_normal_birth,"Sim. Se seu primeiro parto foi uma cesariana, isso não é impedimento para parto normal. Informe-se melhor no pré-natal para entender o seguimento de uma gestante no final da gestação."
ask_choose_birth_type_public,"De acordo com a Organização Mundial da Saúde (OMS), o parto normal é a melhor via de nascimento para mãe e bebê. Você pode e deve conversar com o seu médico sobre como se sente mas na hora do parto a decisão final é do médico obstetra, que avaliará a melhor abordagem de acordo com as suas condições de saúde e do bebê."
ask_contraceptive_pill_after_birth,"Depende da pílula, procure orientação a respeito disso, pois alguns métodos não são recomendados logo no pós-parto imediato. Até você tirar essa dúvida com o seu médico, use preservativo."
ask_desire_sex,"Isso é super normal devido a uma série de fatores como o estresse do parto, o cansaço de cuidar de um recém-nascido, medo de engravidar novamente e a insegurança em relação ao corpo. Além disso, o seu metabolismo também altera o desejo sexual devido a falta de ovulação e ao aumento do hormônio prolactina que é importante para a produção do leite. Mas logo a sua libido voltará ao normal."
ask_diet_breastfeed,Não faça dietas e regimes nesse período. Eles podem afetar sua produção de leite. Procure apenas ter uma alimentação balanceada e beber muito líquido.
ask_do_pregnancy_test,"Existem dois tipos de teste: o de urina e o de sangue. O mais confiável é o de sangue, esse exame pode ser feito sem um pedido médico cerca de 10 dias após a relação sexual e custa em média R$ 50. O teste de gravidez de farmácia pode ser feito a partir do 1º dia do atraso da menstruação e custa cerca de R$ 10. Porém, se o resultado desse primeiro teste for negativo e a menstruação ainda estiver atrasada ou se existirem sintomas de gravidez, o teste deve ser repetido em 3 ou 5 dias, quando os níveis do hormônio beta HCG estão maiores e mais fáceis de serem detectados."
ask_dye_hair_breastfeed,"O melhor é evitar até o término da amamentação devido as substâncias presentes nas tinturas que podem fazer mal ao bebê, especialmente aquelas contendo chumbo e amônia. Você pode consultar o seu médico a respeito de tinturas semi-permanentes, que em alguns casos são permitidas."
ask_exercise_help_normal_birth,"A prática regular de exercícios pode trazer muitas vantagens para as grávidas e para os bebês desde que seguindo à risca as orientações médicas. O trabalho de parto exige paciência e a mulher tem que fazer força, com um melhor condicionamento físico você conseguirá fazer força mais facilmente."
ask_exercise_impair_milk,"A prática exagerada de exercícios pode diminuir a produção de leite. Prefira atividades de menor intensidade. Se notar diminuição do volume de leite, reduza o ritmo."
ask_feces_normal_birth,"Sim, isso pode acontecer. Quando a cabeça do bebê passa pelo canal de parto pode comprimir o reto, parte do intestino que fica logo atrás do útero e da vagina. Se acontecer, não tem problema, isto é normal ocorrer."
ask_feeling_sad,"Não se preocupe, essa tristeza depois do parto é bem comum. Também conhecida por baby blues, ela ocorre devido a modificações neuro-hormonais. Esse sentimento está associado ao medo e ansiedade. Vale a pena conversar com pessoas que já passaram por isso ou mesmo médicos e psicólogos. 
Porém se você está tendo choros compulsivos, tristeza intensa e muita insegurança é recomendável buscar ajuda profissional pois pode se tratar de uma depressão pós-parto."
ask_food_desire_baby_appearance,"Não. Esses desejos repentinos por algum alimento específico, mesmo se não atendidos, não provocarão o aparecimento de nenhum sinal na aparência do bebê."
ask_gain_weight_pregnancy,"Procure um médico ou nutricionista para ajudá-la a perder o peso em excesso. Passados 40 dias do parto, a mulher em geral já pode voltar a fazer atividades físicas leves, sempre com acompanhamento. A alimentação balanceada e fracionada também é sempre bem-vinda."
ask_have_sex_until_month,"Se não há complicações, o sexo é permitido até o final da gestação. Se houver sangramento vaginal, perda de líquido, dor ou qualquer dúvida, procure orientação médica."
ask_high_risk_normal_birth,"Sim. Você pode ter parto normal e, na maioria das vezes, mesmo em gestações de alto risco, é o parto que implica em menos complicações. Se há algum impedimento ao parto normal, essa situação deverá ser explicada a você pelo médico e deverá constar por escrito em seu cartão de pré-natal."
ask_how_long_breastfeed,"O aleitamento deve ser exclusivo por pelo menos seis meses, e depois mantido até dois anos ou mais. Amentar é difícil, exige dedicação e paciência, mas é extremamente benéfica para o desenvolvimento do bebê."
ask_how_long_healthy_pregnant,"Pode demorar até dois anos para engravidar. Apenas passando desse período é que começa a ser aconselhado exames específicos para avaliar a fertilidade do casal, antes não é preciso se preocupar. Nas mulheres com mais de 35 anos, é recomendável avaliação médica se após 6 meses de tentativas não tenha ocorrido a gestação, pois depois dessa idade a fertilidade diminui naturalmente e não se pode perder tempo seu no diagnóstico e tratamento."
ask_how_long_milk_come_down,"Geralmente, o leite desce entre o terceiro e o quinto dia depois do parto. O líquido que sai antes se chama colostro, que é rico em anticorpos e por isso também é muito importante para o recém-nascido."
ask_how_many_pounds_pregnancy,"O ideal é engordar entre 10 e 12kg. Assim, a mulher conseguirá voltar ao peso normal em poucos meses, sem precisar ter muito trabalho para emagrecer e fazer grandes sacrifícios."
ask_ideal_birth_older_women,"Se a pressão estiver controlada e a gravidez transcorrer bem, não há restrição para o parto normal. Mas converse com o seu médico para decidir como será feito o parto."
ask_invite_accompany_birth,"Sim. Na maternidade, é seu direito escolher um acompanhante e tê-lo sempre ao seu lado durante o trabalho de parto, no parto e pós-parto."
ask_late_menstruation,"Atrasos de até 5 dias são normais e não necessariamente indicam alguma condição. Já se o seu atraso é de mais de 15 dias, é indispensável fazer um teste de gravidez para verificar se não há uma gestação.
Se o resultado for positivo, é necessário contatar seu ginecologista para poder tomar as medidas necessárias e assegurar a sua saúde e do bebê.
Caso o resultado seja negativo, procure um ginecologista para verificar se não existe alguma condição patológica que está causando esse atraso."
ask_loose_vagina,"Se o parto for feito corretamente, com procedimentos adequados isso não acontece. Agora, se o parto for mal assistido, há riscos. Porém existem exercícios para recuperar e melhorar o desempenho da musculatura vaginal. Eles devem ser iniciados tão logo ocorra a cicatrização dos tecidos vaginais."
ask_loss_hair_breastfeed,"É normal. Em geral, os fios começam a cair entre dois e três meses após o parto e podem continuar por até seis meses. Durante esse período, suavize as escovações, evite banhos com água muito quente e massageie a cabeça sempre que se lembrar."
ask_normal_bigger_foot,"Em alguns casos, isso pode acontecer sim devido a produção de um hormônio que relaxa os ligamentos de todas articulações, fazendo com que os pés fiquem um pouco maiores no comprimento."
ask_normal_birth_duration,"Enquanto a cesariana demora de 1 a 2 horas para acontecer, a fase ativa do parto normal pode levar de 8 a 12 horas na primeira gestação."
ask_normal_birth_pain,"O nível de sensibilidade varia muito de pessoa para pessoa e claro que o lado psicológico interfere nessa hora. Mas geralmente, é uma dor suportável e que você vai acabar esquecendo depois que o bebê nasce. Existem algumas alternativas naturais que podem aliviar o incômodo, como massagem, água quente e até mesmo o apoio do seu acompanhante. Além disso, existe a possibilidade de realizar uma analgesia de bloqueio (peridural ou combinada), feita por anestesista, na maternidade, que vai retirar a dor, sem que você perca a mobilidade e a possibilidade de ter um parto normal."
ask_normal_birth_recovery,"O parto normal propicia que a mulher retome as atividades mais rápido, enquanto a que faz cesárea pode demorar um pouco devido às limitações da cirurgia, isso porque no caso do parto normal a estrutura dos órgãos internos não foi alterada."
ask_normal_bleeding_after_birth,"É normal, o nome disso é loquios e se trata da perda de sangue, muco e tecidos do interior do útero durante o puerpério. No caso de parto normal, o corrimento escurece até o final do primeiro mês. Depois, por mais um mês, uma secreção amarelada ainda. Em casos de cesariana, o sangramento pode durar até o segundo mês."
ask_normal_feeling_tired,"O cansaço é absolutamente normal. Você gasta muita energia para ter o bebê e não tem tempo de se recompor como deveria porque logo começa a cuidar dele. Por isso, peça ajuda a sua familia para dar banho, ninar e trocar o bebê, além de cozinhar, arrumar a casa e afins."
ask_normal_fever_milk_comes_down,"Sim, as reações metabólicas podem causar febre baixa nas primeiras horas do pós-parto, mas ela logo regride. O importante é que não passe dos 38°C. Nesse caso, é preciso investigar eventuais infecções."
ask_normal_lose_weight_breastfeed,A produção de leite absorve muitas calorias por isso é normal emagrecer durante a amamentação.
ask_normal_menstruation_breastfeed,"Em geral, é normal não menstruar nesse período. Mas isso não é regra. Algumas podem menstruar e até engravidar enquanto amamentam, embora as chances sejam menores."
ask_normal_swollen_foot,"Isso é normal e acontece por causa do aumento da retenção de líquidos. Mas fique tranquila, seu pé deve desinchar em até uma semana.
Caso haja inchaço assimétrico, dor importante ou vermelhidão nas pernas após o parto, procure um médico pelo risco de trombose no período pós-parto."
ask_pain_breastfeed,"Se a dor for no bico do seio, provavelmente o bebê não está pegando direito o peito. Nesse caso, é importante pedir orientações ao seu obstetra ou ao pediatra da criança. Agora, se você estiver sentindo cólicas, parecidas com as menstruais, não há muito o que fazer a não ser suportar. Mas não se preocupe, pois ela é normal e tende a regredir."
ask_pregnant_eat_two,"Não, isso é um mito. O importante é ter um prato variado e colorido, com vegetais, frutas, legumes, carboidratos, proteínas e gorduras e beber bastante água. Para ter disposição o dia todo, as refeições devem ser divididas entre três principais: café da manhã, almoço e jantar. É importante também se alimentar de três em três horas, com lanches saudáveis como frutas, iogurtes e cereais."
ask_pregnant_menopause,"O que caracteriza a menopausa é a ausência da menstruação e depois de confirmado este diagnóstico, não é possível engravidar por meios naturais."
ask_prevent_milk_stumbling,"É importante nunca ficar com o peito cheio de leite, por isso, dê o peito sempre que o bebê tiver fome e faça o rodízio de mamas, esvaziando cada uma delas até ficarem flácidas. Verifique também se o bebê está pegando o peito direito e conseguindo mamar. Se o seu bebê não mamar tudo, você pode retirar o excesso de leite manualmente ou utilizando uma bombinha de tirar leite e guardar para mais tarde ou doá-lo para bancos de leite."
ask_receive_oral_sex,"O sexo oral, na maioria das vezes, não tem contraindicação. Lembre-se apenas de evitar o contato no caso de herpes labial ativo."
ask_sagging_breasts_breastfeed,"A verdade é que os seios não voltarão a ser como antes, porém com o tempo, voltam a uma forma parecida com a que tinham. Ah saiba que a flacidez dos seios é causada pela gestação e não pela amamentação, então não adianta interromper a amamentação com intuito de evitar a flacidez."
ask_sex_bad_pregnancy,"O sexo em condições normais não faz mal. Existe restrição em situações anormais, como na ameaça de aborto ou risco de parto prematuro."
ask_sex_hurt_baby,"Isso não vai acontecer, a criança está bem protegida dentro do útero e o colo uterino tem um tampão para evitar infecções. Se restarem dúvidas, conversem com o seu médico durante uma consulta de pré-natal."
ask_smell_sweat_stronger,"Isso é normal devido as alterações hormonais. Além dos cuidados básicos de higiene, procure usar roupas leves que facilitam a transpiração, evite cafeína e alimentos picantes e hidrate-se bem."
ask_sore_sex_after_birth,"Sim, porque, nessa momento, os hormônios comportam-se quase como que na menopausa. A vagina fica mais seca e dificulta a penetração, causando dor."
ask_stretch_marks,"Infelizmente, as estrias são definitivas. Alguns tratamentos com produtos cosméticos podem atenuar o problema, mas não solucioná-lo."
ask_thirst_breastfeed,Normal. Ter sede é muito comum durante a fase de amamentação pois a produção de leite depende de uma boa hidratação.
ask_ultrasound_hurt_baby,Não. Você pode realizar quantos ultrassons forem necessários desde que seja por indicação médica.
ask_what_vaccines_baby,"Na maternidade é dado o BCG, contra tuberculose, e a vacina contra hepatite B."
ask_when_go_pediatrician,A criança deve fazer a primeira consulta ao pediatra entre os primeiros 7 e 10 dias de vida.
ask_when_have_sex,"É recomendado esperar 40 dias antes de voltar às atividades sexuais, para aguardar o fechamento completo do colo uterino e, no caso de parto normal, a cicatrização dos tecidos vaginais."
ask_can_treatment_varicose_veins,"Cirurgias para para varizes não são indicadas nesse momento. As varizes decorrentes da primeira gestação normalmente desaparecem depois do parto. Mas as da segunda gravidez tendem a permanecer. O mais recomendado é deixar as pernas levantadas por alguns minutos, usar meias elásticas de compressão (apenas no frio), evitar ficar muito tempo parada em pé ou sentada e fazer caminhadas regulares. Essas medidas ajudam a aliviar os sintomas."
ask_can_seabathe,"Se a gravidez não é de risco não há problema porém, são necessários alguns cuidados básicos para entrar no mar, como deixar a água chegar, no máximo, até a altura da coxa e evitar ondas fortes de frente."
ask_can_lymphatic_drainage,"Depende. A drenagem linfática é realmente eficaz para reduzir o inchaço, mas há sempre o risco de lesão vascular ou desprendimento de trombos, acarretando problemas muito maiores. Por isso, é importante, antes de qualquer coisa, conversar com o seu obstetra."
ask_can_almond_oil,"Esse tipo de óleo pode ser usado sem restrições mas ele só melhora a hidratação da pele, o que nem sempre é suficiente para impedir o aparecimento das estrias na pele."
ask_can_sick_friend,"Não pode se a doença for contagiosa ou a pessoa estiver internada. Hospitais são focos de doenças e o melhor é evitar entrar num ambiente assim. Caso não haja um diagnóstico, o melhor é telefonar ou mandar uma mensagem para a pessoa."
ask_when_pregnant_again,"Você pode engravidar de novo seis meses após o parto. O certo é esperar esse período porque quando engravidar, será interrompida a amamentação e a criança precisa se alimentar exclusivamente de leite por seis meses."
ask_diet_after_delivery,A dieta deve ser a mesma que você teve durante a gestação para não influenciar a qualidade do leite materno e a saúde da criança.
ask_when_start_breastfeeding,"A descida do leite acontece 72 horas após o nascimento. Isso acontece porque o bebê demora para entender que nasceu e que precisará buscar alimento de outra maneira. O bebê demora entre três e quatro dias para começar a acordar com fome. Até o leite descer, o bebê irá se alimentar do colostro."
ask_pregnant_takes_pill,"Se estiver no início da gravidez e tomar alguns comprimidos por engano, geralmente, não há problemas. Mas procurar um ginecologista é a primeira atitude que deve ser tomada nesse momento."
ask_can_pregnant_anal_sex,"Sim, porém a camisinha é sempre fundamental, e deve-se evitar ao máximo que o pênis entre em contato com a vagina, para que não haja perigo de contaminação."
ask_necessary_condom_pregnant,O uso da camisinha é sempre fundamental para não prejudicar a saúde da mãe nem do bebê.
ask_can_pregnant_orgasm,"Consegue sim! Inclusive existem mulheres que chegam ao orgasmo pela primeira vez durante a gestação, por causa da irrigação maior de sangue na vagina."
ask_when_period_return,"A menstruação depois do parto pode demorar cerca de 2 meses a 1 ano para vir, dependendo de se você amamenta ou não. Para mulheres que amamentam somente no peito, a menstruação pode vir só quando o bebê parar de mamar, ou diminuir muito a frequência das mamadas, por volta de 1 ano de idade. Já para quem não amamenta, a menstruação pode vir em cerca de 2 meses, depois do nascimento, mas ainda assim, é normal que fique desregulada inicialmente."
ask_consult_after_childbirth,"Sim, procure a rede de saúde pública mais próxima e faça esta consulta até 42 dias depois do parto, para saber como está sua saúde depois do parto, como estão o útero, as mamas, o sangramento e, se for o caso de cesárea ou de corte no períneo, como está a cicatrização. "
ask_normal_birth_better_mother,"Em condições normais, o parto normal é a melhor opção, entre as vantagens para a mãe estão:

- a recuperação é mais rápida e a mulher volta a andar logo após o parto
- o risco de infecção é menor
- há menos riscos de hemorragia
- após o parto normal, a mulher se sente melhor, o que facilita a amamentação
- a cicatriz da cesariana no útero pode ter conseqüências em futuros partos"
ask_normal_birth_better_baby,"Em condições normais, o parto normal é a melhor opção, entre as vantagens para o bebê estão:

- a criança não corre o risco de ser tirada da barriga antes do tempo
- a criança corre menos risco de problemas respiratórios
- o risco de doenças como infecções é menor
- é mais freqüente o contato pele a pele e o início da amamentação ainda na sala de parto"
ask_when_go_maternity,"- Quando você estiver sentindo, pelo menos, três contrações no período de meia hora.
- Quando a bolsa-d’água se romper antes de começarem as contrações. (Preste atenção na cor e no cheiro do líquido, porque esta é uma informação
importante para orientar os profissionais que vão atendê-la na maternidade).
- Quando tiver sangramento, mesmo sem dor."
ask_while_breastfeeding_pregnant,"É possível engravidar enquanto está amamentando, e por isso é recomendado voltar o uso da pílula anticoncepcional 15 dias após o parto. É importante utilizar um método contraceptivo durante a amamentação."
ask_types_childbirth,"Existem dois tipos de parto: o parto cirúrgico (cesárea) e o parto vaginal (ou natural).
Os partos vaginais podem ser diferenciados em: partos vaginais cirúrgicos, onde acontecem intervenções médicas como anestesia, aplicação de ocitocina (hormônio sintético que induz as contrações uterinas), episiotomia, etc. E partos vaginais naturais que são quase sem intervenções ou apenas se necessárias.
Já a cesárea é uma cirurgia que realiza um corte na parede abdominal e no útero. O bebê é retirado através desta abertura, que é fechada com pontos. A cesárea é uma cirurgia e, por isso, a recuperação da mãe é mais lenta que a do parto normal, mas atualmente é considerado um procedimento seguro."
ask_what_is_forceps_childbirth,"É quando um instrumento cirúrgico (fórceps) é introduzido no canal genital, ajustando-se dos dois lados da cabeça do bebê e puxando-o para fora. É utilizado quando o parto não transcorre bem e o bebê não consegue sair. Também é usado para auxiliar já no final do parto normal."
ask_what_is_leboyer_childbirth,"Nesse tipo de parto, requer-se baixa luz e pouco som na sala, para não incomodar o bebê. Tenta-se amenizar o máximo possível a diferença entre o útero e o ambiente externo. Nesse caso, o pai pode dar o primeiro banho do bebê. Utilizado nos casos em que a mulher teve uma gravidez sem complicações."
ask_what_is_squatting_childbirth,"A diferença para o parto normal é a posição da mulher, que fica de cócoras em vez de permanecer deitada. Devido à gravidade, a tendência é de um parto mais rápido. Mas atenção: ele só pode ser realizado em mulheres saudáveis e sem problemas de pressão e se o bebê estiver na posição cefálica (com a cabeça para baixo)."
ask_what_is_water_childbirth,"O parto é feito em uma banheira esterilizada e com água aquecida, a mulher dá à luz no mesmo ambiente em que o bebê se encontra no útero, ou seja, cercado de líquido. Como ele segue respirando pelo cordão umbilical por alguns segundos após o nascimento, não há risco de afogamento caso o parto seja conduzido por profissionais habilitados. Para a mãe, a água quente pode atenuar as dores e o cansaço do trabalho de parto."
ask_what_is_natural_childbirth,"É o parto vaginal feito sem intervenções médicas como a analgesia, o rompimento artificial da bolsa e a episiotomia. Apesar de proporcionar à mulher a experiência de parir em circunstâncias totalmente naturais, esse tipo de parto não é indicado para todas as mulheres."
